Step,Time (s),Particle Count,Err,M0 (m-3),Err,Equiv. Sphere Diameter (m),Err,Collision Diameter (m),Err,Mobility Diameter (m),Err,Surface Area (m2/m3),Err,Avg. Surface Area (m2),Err,Fv (-),Err,Avg. Volume (m3),Err,Mass (kg/m3),Err,Avg. Mass (kg),Err,Mass2 (kg2/m6),Err,Mass3 (kg3/m9),Err,Avg num coags (-),Err,Max num coags (-),Err,aluminum,Err,Avg. aluminum,Err,oxygen,Err,Avg. oxygen,Err
0,0,1024,0,1e+20,0,1.51781173693865e-09,0,1.51781173693865e-09,0,1.51781173693865e-09,0,723.745183163594,0,7.23745183163594e-18,0,1.83085045323072e-07,0,1.83085045323072e-27,0,0.000714031676759972,0,7.14031676759972e-24,0,5.09841235416662e-27,0,3.6404279220593e-50,0,0,0,0,0,1e+16,0,100,0,1e+16,0,100,0
1,8e-11,1024,0,1e+20,0,1.37545086320809e-09,0,1.37545086320809e-09,0,1.37545086320809e-09,0,594.346942779999,0,5.94346942779998e-18,0,1.36249336054376e-07,0,1.36249336054375e-27,0,0.00053137241061208,0,5.31372410612079e-24,0,2.82356638759684e-27,0,1.50036527790054e-50,0,0,0,0,0,0,0,0,0,2e+16,0,200,0
2,1.6e-10,1024,0,1e+20,0,1.37545086320809e-09,0,1.37545086320809e-09,0,1.37545086320809e-09,0,594.346942779998,0,5.94346942779998e-18,0,1.36249336054375e-07,0,1.36249336054375e-27,0,0.000531372410612079,0,5.31372410612079e-24,0,2.82356638759684e-27,0,1.50036527790054e-50,0,0,0,0,0,0,0,0,0,2e+16,0,200,0
3,2.4e-10,1024,0,9.99999999999999e+19,0,1.37545086320809e-09,0,1.37545086320809e-09,0,1.37545086320809e-09,0,594.346942779998,0,5.94346942779998e-18,0,1.36249336054375e-07,0,1.36249336054375e-27,0,0.000531372410612079,0,5.31372410612079e-24,0,2.82356638759684e-27,0,1.50036527790054e-50,0,0,0,0,0,0,0,0,0,2e+16,0,200,0
4,3.2e-10,1024,0,9.99999999999999e+19,0,1.37545086320809e-09,0,1.37545086320809e-09,0,1.37545086320809e-09,0,594.346942779998,0,5.94346942779998e-18,0,1.36249336054375e-07,0,1.36249336054375e-27,0,0.000531372410612079,0,5.31372410612079e-24,0,2.82356638759684e-27,0,1.50036527790054e-50,0,0,0,0,0,0,0,0,0,2e+16,0,200,0
5,4e-10,1024,0,9.99999999999999e+19,0,1.37545086320809e-09,0,1.37545086320809e-09,0,1.37545086320809e-09,0,594.346942779998,0,5.94346942779998e-18,0,1.36249336054375e-07,0,1.36249336054375e-27,0,0.000531372410612079,0,5.31372410612079e-24,0,2.82356638759684e-27,0,1.50036527790054e-50,0,0,0,0,0,0,0,0,0,2e+16,0,200,0
6,4.8e-10,1024,0,1e+20,0,1.37545086320809e-09,0,1.37545086320809e-09,0,1.37545086320809e-09,0,594.346942779998,0,5.94346942779998e-18,0,1.36249336054375e-07,0,1.36249336054375e-27,0,0.000531372410612079,0,5.31372410612079e-24,0,2.82356638759684e-27,0,1.50036527790054e-50,0,0,0,0,0,0,0,0,0,2e+16,0,200,0
7,5.6e-10,1024,0,1e+20,0,1.37545086320809e-09,0,1.37545086320809e-09,0,1.37545086320809e-09,0,594.346942779998,0,5.94346942779998e-18,0,1.36249336054375e-07,0,1.36249336054375e-27,0,0.000531372410612079,0,5.31372410612079e-24,0,2.82356638759684e-27,0,1.50036527790054e-50,0,0,0,0,0,0,0,0,0,2e+16,0,200,0
8,6.4e-10,1024,0,1e+20,0,1.37545086320809e-09,0,1.37545086320809e-09,0,1.37545086320809e-09,0,594.346942779998,0,5.94346942779998e-18,0,1.36249336054375e-07,0,1.36249336054375e-27,0,0.000531372410612079,0,5.31372410612079e-24,0,2.82356638759684e-27,0,1.50036527790054e-50,0,0,0,0,0,0,0,0,0,2e+16,0,200,0
9,7.2e-10,1024,0,1e+20,0,1.37545086320809e-09,0,1.37545086320809e-09,0,1.37545086320809e-09,0,594.346942779998,0,5.94346942779998e-18,0,1.36249336054375e-07,0,1.36249336054375e-27,0,0.000531372410612079,0,5.31372410612079e-24,0,2.82356638759684e-27,0,1.50036527790054e-50,0,0,0,0,0,0,0,0,0,2e+16,0,200,0
10,8e-10,1024,0,1e+20,0,1.37545086320809e-09,0,1.37545086320809e-09,0,1.37545086320809e-09,0,594.346942779999,0,5.94346942779998e-18,0,1.36249336054376e-07,0,1.36249336054375e-27,0,0.00053137241061208,0,5.31372410612079e-24,0,2.82356638759685e-27,0,1.50036527790054e-50,0,0,0,0,0,0,0,0,0,2e+16,0,200,0
11,8.8e-10,1024,0,1e+20,0,1.37545086320809e-09,0,1.37545086320809e-09,0,1.37545086320809e-09,0,594.346942780001,0,5.94346942779998e-18,0,1.36249336054376e-07,0,1.36249336054375e-27,0,0.000531372410612082,0,5.31372410612079e-24,0,2.82356638759685e-27,0,1.50036527790055e-50,0,0,0,0,0,0,0,0,0,2.00000000000001e+16,0,200,0
12,9.6e-10,1024,0,1.00000000000001e+20,0,1.37545086320809e-09,0,1.37545086320809e-09,0,1.37545086320809e-09,0,594.346942780005,0,5.94346942779998e-18,0,1.36249336054377e-07,0,1.36249336054375e-27,0,0.000531372410612086,0,5.31372410612079e-24,0,2.82356638759687e-27,0,1.50036527790056e-50,0,0,0,0,0,0,0,0,0,2.00000000000002e+16,0,200,0
13,1.04e-09,1024,0,1.00000000000002e+20,0,1.37545086320809e-09,0,1.37545086320809e-09,0,1.37545086320809e-09,0,594.346942780012,0,5.94346942779998e-18,0,1.36249336054379e-07,0,1.36249336054375e-27,0,0.000531372410612092,0,5.31372410612079e-24,0,2.82356638759691e-27,0,1.50036527790057e-50,0,0,0,0,0,0,0,0,0,2.00000000000005e+16,0,200,0
14,1.12e-09,1024,0,1.00000000000004e+20,0,1.37545086320809e-09,0,1.37545086320809e-09,0,1.37545086320809e-09,0,594.346942780023,0,5.94346942779998e-18,0,1.36249336054381e-07,0,1.36249336054375e-27,0,0.000531372410612101,0,5.31372410612079e-24,0,2.82356638759696e-27,0,1.5003652779006e-50,0,0,0,0,0,0,0,0,0,2.00000000000008e+16,0,200,0
15,1.2e-09,1024,0,1.00000000000007e+20,0,1.37545086320809e-09,0,1.37545086320809e-09,0,1.37545086320809e-09,0,594.346942780038,0,5.94346942779998e-18,0,1.36249336054384e-07,0,1.36249336054375e-27,0,0.000531372410612115,0,5.31372410612079e-24,0,2.82356638759703e-27,0,1.50036527790064e-50,0,0,0,0,0,0,0,0,0,2.00000000000013e+16,0,200,0
16,1.28e-09,1024,0,1.00000000000011e+20,0,1.37545086320809e-09,0,1.37545086320809e-09,0,1.37545086320809e-09,0,594.346942780061,0,5.94346942779998e-18,0,1.3624933605439e-07,0,1.36249336054375e-27,0,0.000531372410612135,0,5.31372410612079e-24,0,2.82356638759714e-27,0,1.5003652779007e-50,0,0,0,0,0,0,0,0,0,2.00000000000021e+16,0,200,0
17,1.36e-09,1024,0,1.00000000000016e+20,0,1.37545086320809e-09,0,1.37545086320809e-09,0,1.37545086320809e-09,0,594.346942780093,0,5.94346942779998e-18,0,1.36249336054397e-07,0,1.36249336054375e-27,0,0.000531372410612164,0,5.31372410612079e-24,0,2.82356638759729e-27,0,1.50036527790078e-50,0,0,0,0,0,0,0,0,0,2.00000000000032e+16,0,200,0
18,1.44e-09,1024,0,1.00000000000023e+20,0,1.37545086320809e-09,0,1.37545086320809e-09,0,1.37545086320809e-09,0,594.346942780136,0,5.94346942779998e-18,0,1.36249336054407e-07,0,1.36249336054375e-27,0,0.000531372410612203,0,5.31372410612079e-24,0,2.8235663875975e-27,0,1.50036527790089e-50,0,0,0,0,0,0,0,0,0,2.00000000000046e+16,0,200,0
19,1.52e-09,1024,0,1.00000000000034e+20,0,1.37545086320809e-09,0,1.37545086320809e-09,0,1.37545086320809e-09,0,594.3469427802,0,5.94346942779998e-18,0,1.36249336054422e-07,0,1.36249336054375e-27,0,0.00053137241061226,0,5.31372410612079e-24,0,2.8235663875978e-27,0,1.50036527790105e-50,0,0,0,0,0,0,0,0,0,2.00000000000068e+16,0,200,0
20,1.6e-09,1024,0,1.00000000000046e+20,0,1.37545086320809e-09,0,1.37545086320809e-09,0,1.37545086320809e-09,0,594.346942780275,0,5.94346942779998e-18,0,1.36249336054439e-07,0,1.36249336054375e-27,0,0.000531372410612326,0,5.31372410612079e-24,0,2.82356638759815e-27,0,1.50036527790124e-50,0,0,0,0,0,0,0,0,0,2.00000000000093e+16,0,200,0
21,1.68e-09,1024,0,1.00000000000062e+20,0,1.37545086320809e-09,0,1.37545086320809e-09,0,1.37545086320809e-09,0,594.346942780365,0,5.94346942779998e-18,0,1.3624933605446e-07,0,1.36249336054375e-27,0,0.000531372410612407,0,5.31372410612079e-24,0,2.82356638759858e-27,0,1.50036527790147e-50,0,0,0,0,0,0,0,0,0,2.00000000000123e+16,0,200,0
22,1.76e-09,1024,0,1.00000000000082e+20,0,1.37545086320809e-09,0,1.37545086320809e-09,0,1.37545086320809e-09,0,594.346942780484,0,5.94346942779998e-18,0,1.36249336054487e-07,0,1.36249336054375e-27,0,0.000531372410612513,0,5.31372410612079e-24,0,2.82356638759915e-27,0,1.50036527790176e-50,0,0,0,0,0,0,0,0,0,2.00000000000163e+16,0,200,0
23,1.84e-09,1024,0,1.00000000000105e+20,0,1.37545086320809e-09,0,1.37545086320809e-09,0,1.37545086320809e-09,0,594.34694278062,0,5.94346942779998e-18,0,1.36249336054518e-07,0,1.36249336054375e-27,0,0.000531372410612636,0,5.31372410612079e-24,0,2.8235663875998e-27,0,1.50036527790211e-50,0,0,0,0,0,0,0,0,0,2.00000000000209e+16,0,200,0
24,1.92e-09,1024,0,1.00000000000136e+20,0,1.37545086320809e-09,0,1.37545086320809e-09,0,1.37545086320809e-09,0,594.346942780805,0,5.94346942779998e-18,0,1.3624933605456e-07,0,1.36249336054375e-27,0,0.0005313724106128,0,5.31372410612079e-24,0,2.82356638760067e-27,0,1.50036527790257e-50,0,0,0,0,0,0,0,0,0,2.00000000000271e+16,0,200,0
25,2e-09,1024,0,1.00000000000164e+20,0,1.37545086320809e-09,0,1.37545086320809e-09,0,1.37545086320809e-09,0,594.346942780976,0,5.94346942779998e-18,0,1.36249336054599e-07,0,1.36249336054375e-27,0,0.000531372410612953,0,5.31372410612079e-24,0,2.82356638760148e-27,0,1.50036527790301e-50,0,0,0,0,0,0,0,0,0,2.00000000000329e+16,0,200,0
26,2.08e-09,1024,0,1.00000000000203e+20,0,1.37545086320809e-09,0,1.37545086320809e-09,0,1.37545086320809e-09,0,594.346942781207,0,5.94346942779998e-18,0,1.36249336054653e-07,0,1.36249336054375e-27,0,0.00053137241061316,0,5.31372410612079e-24,0,2.82356638760258e-27,0,1.50036527790359e-50,0,0,0,0,0,0,0,0,0,2.00000000000407e+16,0,200,0
27,2.16e-09,1024,0,1.00000000000247e+20,0,1.37545086320809e-09,0,1.37545086320809e-09,0,1.37545086320809e-09,0,594.346942781468,0,5.94346942779998e-18,0,1.36249336054712e-07,0,1.36249336054375e-27,0,0.000531372410613393,0,5.31372410612079e-24,0,2.82356638760382e-27,0,1.50036527790425e-50,0,0,0,0,0,0,0,0,0,2.00000000000495e+16,0,200,0
28,2.24e-09,1024,0,1.00000000000297e+20,0,1.37545086320809e-09,0,1.37545086320809e-09,0,1.37545086320809e-09,0,594.346942781766,0,5.94346942779998e-18,0,1.36249336054781e-07,0,1.36249336054375e-27,0,0.00053137241061366,0,5.31372410612079e-24,0,2.82356638760524e-27,0,1.500365277905e-50,0,0,0,0,0,0,0,0,0,2.00000000000595e+16,0,200,0
29,2.32e-09,1024,0,1.00000000000355e+20,0,1.37545086320809e-09,0,1.37545086320809e-09,0,1.37545086320809e-09,0,594.346942782106,0,5.94346942779998e-18,0,1.36249336054858e-07,0,1.36249336054375e-27,0,0.000531372410613963,0,5.31372410612079e-24,0,2.82356638760685e-27,0,1.50036527790586e-50,0,0,0,0,0,0,0,0,0,2.00000000000709e+16,0,200,0
30,2.4e-09,1024,0,1.00000000000415e+20,0,1.37545086320809e-09,0,1.37545086320809e-09,0,1.37545086320809e-09,0,594.346942782466,0,5.94346942779998e-18,0,1.36249336054941e-07,0,1.36249336054375e-27,0,0.000531372410614286,0,5.31372410612079e-24,0,2.82356638760856e-27,0,1.50036527790677e-50,0,0,0,0,0,0,0,0,0,2.0000000000083e+16,0,200,0
31,2.48e-09,1024,0,1.00000000000482e+20,0,1.37545086320809e-09,0,1.37545086320809e-09,0,1.37545086320809e-09,0,594.346942782863,0,5.94346942779998e-18,0,1.36249336055032e-07,0,1.36249336054375e-27,0,0.000531372410614641,0,5.31372410612079e-24,0,2.82356638761045e-27,0,1.50036527790777e-50,0,0,0,0,0,0,0,0,0,2.00000000000964e+16,0,200,0
32,2.56e-09,1024,0,1.00000000000554e+20,0,1.37545086320809e-09,0,1.37545086320809e-09,0,1.37545086320809e-09,0,594.346942783294,0,5.94346942779998e-18,0,1.36249336055131e-07,0,1.36249336054375e-27,0,0.000531372410615026,0,5.31372410612079e-24,0,2.8235663876125e-27,0,1.50036527790886e-50,0,0,0,0,0,0,0,0,0,2.00000000001109e+16,0,200,0
33,2.64e-09,1024,0,1.00000000000634e+20,0,1.37545086320809e-09,0,1.37545086320809e-09,0,1.37545086320809e-09,0,594.346942783768,0,5.94346942779998e-18,0,1.3624933605524e-07,0,1.36249336054375e-27,0,0.00053137241061545,0,5.31372410612079e-24,0,2.82356638761475e-27,0,1.50036527791006e-50,0,0,0,0,0,0,0,0,0,2.00000000001269e+16,0,200,0
34,2.72e-09,1024,0,1.00000000000724e+20,0,1.37545086320809e-09,0,1.37545086320809e-09,0,1.37545086320809e-09,0,594.346942784299,0,5.94346942779998e-18,0,1.36249336055361e-07,0,1.36249336054375e-27,0,0.000531372410615924,0,5.31372410612079e-24,0,2.82356638761727e-27,0,1.50036527791139e-50,0,0,0,0,0,0,0,0,0,2.00000000001447e+16,0,200,0
35,2.8e-09,1024,0,1.00000000000812e+20,0,1.37545086320809e-09,0,1.37545086320809e-09,0,1.37545086320809e-09,0,594.346942784825,0,5.94346942779998e-18,0,1.36249336055482e-07,0,1.36249336054375e-27,0,0.000531372410616394,0,5.31372410612079e-24,0,2.82356638761977e-27,0,1.50036527791272e-50,0,0,0,0,0,0,0,0,0,2.00000000001624e+16,0,200,0
36,2.88e-09,1024,0,1.000000000009e+20,0,1.37545086320809e-09,0,1.37545086320809e-09,0,1.37545086320809e-09,0,594.346942785348,0,5.94346942779998e-18,0,1.36249336055602e-07,0,1.36249336054375e-27,0,0.000531372410616862,0,5.31372410612079e-24,0,2.82356638762226e-27,0,1.50036527791404e-50,0,0,0,0,0,0,0,0,0,2.000000000018e+16,0,200,0
37,2.96e-09,1024,0,1.00000000000993e+20,0,1.37545086320809e-09,0,1.37545086320809e-09,0,1.37545086320809e-09,0,594.3469427859,0,5.94346942779998e-18,0,1.36249336055728e-07,0,1.36249336054375e-27,0,0.000531372410617356,0,5.31372410612079e-24,0,2.82356638762488e-27,0,1.50036527791544e-50,0,0,0,0,0,0,0,0,0,2.00000000001986e+16,0,200,0
38,3.04e-09,1024,0,1.00000000001087e+20,0,1.37545086320809e-09,0,1.37545086320809e-09,0,1.37545086320809e-09,0,594.346942786459,0,5.94346942779998e-18,0,1.36249336055857e-07,0,1.36249336054375e-27,0,0.000531372410617856,0,5.31372410612079e-24,0,2.82356638762754e-27,0,1.50036527791685e-50,0,0,0,0,0,0,0,0,0,2.00000000002174e+16,0,200,0
39,3.12e-09,1024,0,1.00000000001198e+20,0,1.37545086320809e-09,0,1.37545086320809e-09,0,1.37545086320809e-09,0,594.346942787119,0,5.94346942779998e-18,0,1.36249336056008e-07,0,1.36249336054375e-27,0,0.000531372410618445,0,5.31372410612079e-24,0,2.82356638763067e-27,0,1.50036527791851e-50,0,0,0,0,0,0,0,0,0,2.00000000002396e+16,0,200,0
40,3.2e-09,1024,0,1.00000000001294e+20,0,1.37545086320809e-09,0,1.37545086320809e-09,0,1.37545086320809e-09,0,594.346942787688,0,5.94346942779998e-18,0,1.36249336056138e-07,0,1.36249336054375e-27,0,0.000531372410618955,0,5.31372410612079e-24,0,2.82356638763337e-27,0,1.50036527791995e-50,0,0,0,0,0,0,0,0,0,2.00000000002588e+16,0,200,0
41,3.28e-09,1024,0,1.0000000000143e+20,0,1.37545086320809e-09,0,1.37545086320809e-09,0,1.37545086320809e-09,0,594.346942788498,0,5.94346942779998e-18,0,1.36249336056324e-07,0,1.36249336054375e-27,0,0.000531372410619679,0,5.31372410612079e-24,0,2.82356638763722e-27,0,1.500365277922e-50,0,0,0,0,0,0,0,0,0,2.0000000000286e+16,0,200,0
42,3.36e-09,1024,0,1.00000000001537e+20,0,1.37545086320809e-09,0,1.37545086320809e-09,0,1.37545086320809e-09,0,594.346942789135,0,5.94346942779998e-18,0,1.3624933605647e-07,0,1.36249336054375e-27,0,0.000531372410620248,0,5.31372410612079e-24,0,2.82356638764025e-27,0,1.5003652779236e-50,0,0,0,0,0,0,0,0,0,2.00000000003075e+16,0,200,0
43,3.44e-09,1024,0,1.00000000001662e+20,0,1.37545086320809e-09,0,1.37545086320809e-09,0,1.37545086320809e-09,0,594.346942789877,0,5.94346942779998e-18,0,1.3624933605664e-07,0,1.36249336054375e-27,0,0.000531372410620911,0,5.31372410612079e-24,0,2.82356638764377e-27,0,1.50036527792548e-50,0,0,0,0,0,0,0,0,0,2.00000000003324e+16,0,200,0
44,3.52e-09,1024,0,1.00000000001811e+20,0,1.37545086320809e-09,0,1.37545086320809e-09,0,1.37545086320809e-09,0,594.346942790762,0,5.94346942779998e-18,0,1.36249336056843e-07,0,1.36249336054375e-27,0,0.000531372410621703,0,5.31372410612079e-24,0,2.82356638764798e-27,0,1.50036527792771e-50,0,0,0,0,0,0,0,0,0,2.00000000003622e+16,0,200,0
45,3.6e-09,1024,0,1.0000000000194e+20,0,1.37545086320809e-09,0,1.37545086320809e-09,0,1.37545086320809e-09,0,594.346942791527,0,5.94346942779998e-18,0,1.36249336057018e-07,0,1.36249336054375e-27,0,0.000531372410622386,0,5.31372410612079e-24,0,2.82356638765161e-27,0,1.50036527792964e-50,0,0,0,0,0,0,0,0,0,2.00000000003879e+16,0,200,0
46,3.68e-09,1024,0,1.00000000002076e+20,0,1.37545086320809e-09,0,1.37545086320809e-09,0,1.37545086320809e-09,0,594.346942792338,0,5.94346942779998e-18,0,1.36249336057204e-07,0,1.36249336054375e-27,0,0.000531372410623111,0,5.31372410612079e-24,0,2.82356638765546e-27,0,1.50036527793169e-50,0,0,0,0,0,0,0,0,0,2.00000000004152e+16,0,200,0
47,3.76e-09,1024,0,1.00000000002223e+20,0,1.37545086320809e-09,0,1.37545086320809e-09,0,1.37545086320809e-09,0,594.34694279321,0,5.94346942779998e-18,0,1.36249336057404e-07,0,1.36249336054375e-27,0,0.000531372410623891,0,5.31372410612079e-24,0,2.82356638765961e-27,0,1.50036527793389e-50,0,0,0,0,0,0,0,0,0,2.00000000004446e+16,0,200,0
48,3.84e-09,1024,0,1.00000000002384e+20,0,1.37545086320809e-09,0,1.37545086320809e-09,0,1.37545086320809e-09,0,594.346942794168,0,5.94346942779998e-18,0,1.36249336057624e-07,0,1.36249336054375e-27,0,0.000531372410624748,0,5.31372410612079e-24,0,2.82356638766416e-27,0,1.50036527793631e-50,0,0,0,0,0,0,0,0,0,2.00000000004768e+16,0,200,0
49,3.92e-09,1024,0,1.00000000002551e+20,0,1.37545086320809e-09,0,1.37545086320809e-09,0,1.37545086320809e-09,0,594.346942795162,0,5.94346942779998e-18,0,1.36249336057852e-07,0,1.36249336054375e-27,0,0.000531372410625636,0,5.31372410612079e-24,0,2.82356638766888e-27,0,1.50036527793882e-50,0,0,0,0,0,0,0,0,0,2.00000000005103e+16,0,200,0
50,4e-09,1024,0,1.0000000000269e+20,0,1.37545086320809e-09,0,1.37545086320809e-09,0,1.37545086320809e-09,0,594.346942795988,0,5.94346942779998e-18,0,1.36249336058041e-07,0,1.36249336054375e-27,0,0.000531372410626375,0,5.31372410612079e-24,0,2.8235663876728e-27,0,1.5003652779409e-50,0,0,0,0,0,0,0,0,0,2.0000000000538e+16,0,200,0